image_src,title,price,deal,shop,location
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/743750137/O1CN01Hh1Cvp1Csml23nxuw_!!0-item_pic.jpg,"美宝莲
口红
绝色持久唇膏新年限定惹火小鞭炮大理石红中麻将滋润","¥
109.00",36234人付款,美宝莲旗舰店,上海
//g-search1.alicdn.com/img/bao/uploaded/i4/i1/191008125/O1CN015ejl0K29tIXQlOvyg_!!0-item_pic.jpg,"美康粉黛
口红
正品持久保湿滋润防水不易脱色小辣椒学生国产唇膏女","¥
39.00",123782人付款,美康粉黛旗舰店,江苏 南京
//g-search3.alicdn.com/img/bao/uploaded/i4/i3/3570503317/O1CN01CzvuGD1aNEFouvRO8_!!0-item_pic.jpg,"【官方正品】纪梵希
口红
小牛皮 高定唇膏滋润
口红
女 官方正品","¥
320.00",5400人付款,givenchy纪梵希官方旗舰店,上海
//g-search2.alicdn.com/img/bao/uploaded/i4/i1/3570503317/O1CN01WQ97i41aNEFt8VoT3_!!0-item_pic.jpg,"【超品预售】纪梵希禁忌之吻
口红
霓虹唇膏N11 滋润 官方正品","¥
320.00",3957人付款,givenchy纪梵希官方旗舰店,上海
//g-search3.alicdn.com/img/bao/uploaded/i4/i1/3570503317/O1CN01nqnRkW1aNEFkhWTfS_!!0-item_pic.jpg,"【超品预售】纪梵希
口红
小羊皮半哑光唇膏女 306番茄红 官方正品","¥
355.00",36109人付款,givenchy纪梵希官方旗舰店,上海
//g-search3.alicdn.com/img/bao/uploaded/i4/i4/3570503317/O1CN01VzXRsQ1aNEFKPS8VH_!!0-item_pic.jpg,"【超品预售】纪梵希
口红
禁忌之吻霓虹唇膏 滋润
口红
女 官方正品","¥
320.00",7119人付款,givenchy纪梵希官方旗舰店,上海
//g-search1.alicdn.com/img/bao/uploaded/i4/i2/3170729146/O1CN013QdyOc2HQuvCVFRsN_!!0-item_pic.jpg,"【官方正品】MAC/魅可春日子弹头
口红
唇膏 元气珊瑚see sheer","¥
170.00",31254人付款,mac魅可官方旗舰店,浙江 杭州
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3170729146/O1CN01PoSlLO2HQuvGE7Q7N_!!0-item_pic.jpg,"【预售】MAC/魅可子弹头
口红
唇膏断货王 小辣椒chili/俄罗斯红","¥
170.00",114417人付款,mac魅可官方旗舰店,浙江 杭州
//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2360209412/O1CN01iQM4Ot2JOkHCutmtM_!!0-item_pic.jpg,"兰蔻196菁纯丝绒雾面哑光唇膏
口红
持久保湿不脱色脏橘色胡萝卜色","¥
270.00",19740人付款,lancome兰蔻官方旗舰店,江苏 苏州
//g-search2.alicdn.com/img/bao/uploaded/i4/i2/2360209412/O1CN01yty26P2JOkH4WnbYU_!!0-item_pic.jpg,"兰蔻274唇釉 菁纯漆光唇釉8ml 唇膏唇彩
口红
显色持久不粘杯滋润","¥
270.00",9729人付款,lancome兰蔻官方旗舰店,江苏 苏州
